round,category,question_number,question_text,answer_text,daily_double_flag,image_url
2,Taking Stock,3,"This Thai favorite often combines lemongrass, galangal, lime leaves, chilies, shrimp, and a sour-spicy broth.",Tom Yum,FALSE,
2,Taking Stock,4,"This Mexican stew is made with hominy and meat, often garnished with radish, cabbage, lime, and chiles.",Pozole,FALSE,
2,Taking Stock,5,"This Italian “reboiled” dish traditionally uses leftover bread, cannellini beans, kale or cabbage, and vegetables.",Ribollita,FALSE,
2,Modern Marvels,1,"In Captain America: Brave New World, this actor takes over the role of Thaddeus Ross, previously played by William Hurt.",Harrison Ford,FALSE,
2,Modern Marvels,2,"This 2025 Disney+ series stars Dominique Thorne as Riri Williams, a young inventor building advanced armored tech.",Ironheart,FALSE,
2,Modern Marvels,3,This Marvel character moves from organized crime into New York politics in Daredevil: Born Again.,Wilson Fisk/Kingpin,FALSE,
2,Modern Marvels,4,"In Agatha All Along, Aubrey Plaza’s character Rio Vidal is ultimately revealed to be this cosmic figure.",Death,FALSE,
2,Modern Marvels,5,"In Deadpool & Wolverine, this rogue TVA agent plans to use an unauthorized “Time Ripper” to destroy timelines.",Mr. Paradox,FALSE,
2,It's Lit,1,This dystopian novel features a government known as Big Brother and the slogan “War is peace.”,1984,FALSE,
2,It's Lit,2,"In To Kill a Mockingbird, this mysterious neighbor leaves gifts for Scout and Jem in a tree.",Boo Radley,FALSE,
2,It's Lit,3,"In Lord of the Flies, this object is used to call meetings and symbolize order among the boys.",Conch,FALSE,
2,It's Lit,4,"In The Odyssey, Odysseus tells the Cyclops that his name is this.",Nobody,TRUE,
2,It's Lit,5,"In The Lion, the Witch and the Wardrobe, this character betrays his siblings after being tempted with Turkish delight.",Edmund Pevensie,FALSE,
2,The Office,1,"In workplace shorthand, this two-letter abbreviation often refers to the department that handles hiring, benefits, and employee relations.",HR,FALSE,
2,The Office,2,This office supply brand makes the Easy Button.,Staples,FALSE,
2,The Office,3,This three letter acronym refers to a measurable target used to evaluate performance.,KPI,FALSE,
2,The Office,4,"This business acronym refers to the money a company earns before subtracting interest, taxes, depreciation, and amortization.",EBITDA,FALSE,
2,The Office,5,"This company's corperate headquarters in California was given the nickname ""The Spaceship"" due to its circular design.",Apple,FALSE,
3,Seeing Double,1,"This type of legislature has two chambers, as in the U.S. Congress.",Bicameral,FALSE,
